snapped_at,price,market_cap,total_volume
2017-05-18 00:00:00 UTC,87.00250105064093,7979917682.752869,133619330.75849958
2017-05-19 00:00:00 UTC,108.99607837254369,10000788571.347338,339715802.76276165
2017-05-20 00:00:00 UTC,109.78635211994724,10076418545.531294,188830947.6993686
2017-05-21 00:00:00 UTC,132.65569552349064,12179152569.935556,323138595.00341946
2017-05-22 00:00:00 UTC,136.92307433906691,12574986667.30044,652184444.9428599
2017-05-23 00:00:00 UTC,152.91903044389022,14047227771.232805,280763784.8406584
2017-05-24 00:00:00 UTC,169.75490078393622,15599169627.346909,414730215.21904314
2017-05-25 00:00:00 UTC,158.87221937168508,14604477946.756144,409100213.11668587
2017-05-26 00:00:00 UTC,145.7137602089945,13399075742.994522,286917316.0646621
2017-05-27 00:00:00 UTC,142.1783598359497,13078074962.773943,468837499.1208372
2017-05-28 00:00:00 UTC,154.13059173777654,14181918415.075178,246449410.5392561
2017-05-29 00:00:00 UTC,176.02249274538508,16201455588.416012,284703489.2172228
2017-05-30 00:00:00 UTC,206.5596870602634,19018302571.904892,734132969.715404
2017-05-31 00:00:00 UTC,205.86913081102196,18960653176.16662,578134239.8857912
2017-06-01 00:00:00 UTC,197.93626910105976,18235575724.53864,391525718.9905775
2017-06-02 00:00:00 UTC,198.7919348294067,18319746295.13921,200975200.0784177
2017-06-03 00:00:00 UTC,199.778446149684,18416155924.23636,176862688.03685015
2017-06-04 00:00:00 UTC,219.37371275493257,20228415830.83314,359559863.0147823
2017-06-05 00:00:00 UTC,221.2234150668541,20405200934.46819,207812883.86059847
2017-06-06 00:00:00 UTC,235.83124540883333,21759073623.393986,373785643.6954367
2017-06-07 00:00:00 UTC,227.5864559388238,21004695950.44041,206064033.00390512
2017-06-08 00:00:00 UTC,232.3735384474454,21452934670.39984,161626372.58616737
2017-06-09 00:00:00 UTC,250.561605302376,23138989158.951286,239597546.0925844
2017-06-10 00:00:00 UTC,301.7041457168402,27870418574.13769,716186698.3916647
2017-06-11 00:00:00 UTC,304.33575941277525,28122031113.9562,567612721.2272336
2017-06-12 00:00:00 UTC,356.04645667702454,32910293658.654976,1270268690.0070047
2017-06-13 00:00:00 UTC,347.9017519155391,32167306310.47345,656128929.3385494
2017-06-14 00:00:00 UTC,310.24427243923765,28694238978.090233,503738073.0806432
2017-06-15 00:00:00 UTC,310.7495138969268,28749756654.226917,914602886.4566783
2017-06-16 00:00:00 UTC,320.3260637280968,29644846883.892693,361380180.85807824
2017-06-17 00:00:00 UTC,332.5855586716764,30788810762.54098,267724554.08624732
2017-06-18 00:00:00 UTC,320.8069582129849,29707606228.850533,281503285.74239534
2017-06-19 00:00:00 UTC,324.65126882211683,30072883362.297974,229374223.40642607
2017-06-20 00:00:00 UTC,321.5464816785833,29790563835.773636,464882811.25181353
2017-06-21 00:00:00 UTC,293.62698869608806,27214568745.2375,643921942.1946487
2017-06-22 00:00:00 UTC,293.2368518010551,27186186172.11393,334854542.20870405
2017-06-23 00:00:00 UTC,296.5371041409684,27499912794.635902,194196308.6283052
2017-06-24 00:00:00 UTC,277.00776589194754,25696059476.100792,193209656.4403472
2017-06-25 00:00:00 UTC,257.26286447431806,23871344530.23836,439970179.1267836
2017-06-26 00:00:00 UTC,231.57316583891082,21493337643.10945,798156242.7788776
2017-06-27 00:00:00 UTC,247.5605415456393,22984268062.37208,651788869.2569628
2017-06-28 00:00:00 UTC,278.87512441671504,25899054161.795242,646188437.2906545
2017-06-29 00:00:00 UTC,262.3655051643788,24372583180.693714,408885005.85808814
2017-06-30 00:00:00 UTC,249.13886080741864,23150825035.574867,314417806.42338085
2017-07-01 00:00:00 UTC,229.7483700011484,21355154414.04868,319162104.9844622
2017-07-02 00:00:00 UTC,250.42642192399646,23283853356.17717,308921651.12906134
2017-07-03 00:00:00 UTC,245.09086784918514,22794450925.805912,215357435.93905148
2017-07-04 00:00:00 UTC,237.5821360568379,22102604671.91151,210696878.7931136
2017-07-05 00:00:00 UTC,234.2383253138121,21797790131.80635,237097390.8040769
2017-07-06 00:00:00 UTC,234.164393659002,21793155355.43712,160212289.5709078
2017-07-07 00:00:00 UTC,211.76533713984801,19708523455.59709,225464857.78912136
2017-07-08 00:00:00 UTC,215.9970075857239,20117856311.98864,207959006.38844725
2017-07-09 00:00:00 UTC,209.43075184809285,19511917157.348732,111043159.77326168
2017-07-10 00:00:00 UTC,184.7285982877881,17215021005.06266,361363620.919578
2017-07-11 00:00:00 UTC,169.43344073301608,15793702427.472097,547879453.1688536
2017-07-12 00:00:00 UTC,194.5851967304133,18142870976.973183,420541161.0288683
2017-07-13 00:00:00 UTC,181.1332004084497,16892936008.759045,272999383.61747885
2017-07-14 00:00:00 UTC,172.62777870446118,16103808478.835766,246607618.86536387
2017-07-15 00:00:00 UTC,149.78855428445405,13976830514.858335,214062964.2496957
2017-07-16 00:00:00 UTC,136.41373509593492,12732103256.65828,518732581.57811785
2017-07-17 00:00:00 UTC,164.1140351372132,15321361866.962757,459495911.20233047
2017-07-18 00:00:00 UTC,197.8289997245493,18473652419.444885,848038983.6781732
2017-07-19 00:00:00 UTC,173.1417783668383,16172566655.31319,667386850.2914758
2017-07-20 00:00:00 UTC,192.17944114922298,17955494112.300674,629280300.3393147
2017-07-21 00:00:00 UTC,186.09282098483746,17391262528.160442,334657036.1281737
2017-07-22 00:00:00 UTC,198.15241305692345,18523106064.950844,197146452.87715223
2017-07-23 00:00:00 UTC,194.22596979114516,18160737462.339302,175164065.79936555
2017-07-24 00:00:00 UTC,193.16193158722888,18065971293.23192,123915314.1927798
2017-07-25 00:00:00 UTC,177.57204924186775,16612267407.26826,307404800.2898148
2017-07-26 00:00:00 UTC,170.72440248182198,15975825169.374296,248227281.9254425
2017-07-27 00:00:00 UTC,173.88901520203538,16276200144.713972,133301863.01016948
2017-07-28 00:00:00 UTC,163.92315657007975,15347431426.857962,266162138.8751902
2017-07-29 00:00:00 UTC,174.91770643783627,16381099881.240253,357798738.6090837
2017-07-30 00:00:00 UTC,167.68833579399598,15708220953.58281,236740687.37780985
2017-07-31 00:00:00 UTC,171.82321724079398,16099681330.036537,216411959.88073888
2017-08-01 00:00:00 UTC,192.35063804513308,18027225863.751408,673245622.4043349
2017-08-02 00:00:00 UTC,184.83801390501216,17327038335.466133,262204234.5910429
2017-08-03 00:00:00 UTC,189.327126303753,17751832579.8186,192991039.25619632
2017-08-04 00:00:00 UTC,188.27497170281623,17657183146.85144,172843241.94592294
2017-08-05 00:00:00 UTC,215.0124487528366,20169284467.674904,522439566.4399642
2017-08-06 00:00:00 UTC,223.3326215603004,20954507943.52694,543100380.5357307
2017-08-07 00:00:00 UTC,227.6958812866511,21368822421.13954,369224432.917407
2017-08-08 00:00:00 UTC,250.98925549626702,23560292893.36784,577049769.4906838
2017-08-09 00:00:00 UTC,252.5555069551312,23712789620.615997,1017783497.8587984
2017-08-10 00:00:00 UTC,252.23884754028072,23688487214.42028,381256296.76043946
2017-08-11 00:00:00 UTC,259.51655865455626,24377633957.77154,348171387.6084168
2017-08-12 00:00:00 UTC,261.10645827556624,24532630147.30324,410726012.59620583
2017-08-13 00:00:00 UTC,251.37015158208138,23623450370.66317,582898795.8757676
2017-08-14 00:00:00 UTC,251.64159520355858,23654509249.277912,326422823.52483577
2017-08-15 00:00:00 UTC,245.75341926318524,23106400504.863525,448950282.2618968
2017-08-16 00:00:00 UTC,254.76039420724155,23959078589.07251,543920954.9550453
2017-08-17 00:00:00 UTC,255.21127318352055,24001481745.42044,544505067.5613613
2017-08-18 00:00:00 UTC,251.78745891673233,23690793299.532185,502079341.95940065
2017-08-19 00:00:00 UTC,252.22072893837338,23737255263.653896,470818481.3481776
2017-08-20 00:00:00 UTC,251.1234180146761,23639548408.150192,291663834.0940976
2017-08-21 00:00:00 UTC,272.8448262298424,25690472671.856644,1476768886.3948689
2017-08-22 00:00:00 UTC,265.3517338929755,24990906699.61581,763602505.0059572
2017-08-23 00:00:00 UTC,268.2049042515434,25265703108.544388,394934226.2678418
2017-08-24 00:00:00 UTC,272.6161830233534,25687411965.2056,336975654.89742124
2017-08-25 00:00:00 UTC,275.9120459834089,26003144533.075333,378994105.5053176
2017-08-26 00:00:00 UTC,276.68152249188563,26028214936.246418,280014413.01140684
2017-08-27 00:00:00 UTC,287.27369677511575,27084610842.5564,309622618.83384985
2017-08-28 00:00:00 UTC,287.607925593842,27121428246.323082,434397165.5315303
2017-08-29 00:00:00 UTC,306.3248893937088,28892269189.395905,640665327.2198489
2017-08-30 00:00:00 UTC,318.5484467803088,30051228150.587467,717114506.6718438
2017-08-31 00:00:00 UTC,321.4470489313616,30330697869.913113,347826852.45636463
2017-09-01 00:00:00 UTC,325.70071905878314,30738219346.545074,426275094.5041871
2017-09-02 00:00:00 UTC,292.1111593925839,27573687711.61674,808413712.8866125
2017-09-03 00:00:00 UTC,294.5557375752578,27809930027.60591,564979149.2874826
2017-09-04 00:00:00 UTC,251.9606719402375,23793115150.12711,1074804446.4624317
2017-09-05 00:00:00 UTC,267.52568054002336,25268095072.77948,922217943.7077633
2017-09-06 00:00:00 UTC,279.43482528382333,26398210738.91104,563950905.9526696
2017-09-07 00:00:00 UTC,273.91604111232203,25882089513.41171,358713377.9435536
2017-09-08 00:00:00 UTC,252.94939464604252,23905860781.322456,548635747.3247505
2017-09-09 00:00:00 UTC,249.02510474392696,23539710876.702477,262171703.5287436
2017-09-10 00:00:00 UTC,243.683143359638,23039377104.227417,380214111.54155344
2017-09-11 00:00:00 UTC,247.87448318630942,23440327095.728653,303500284.19064224
2017-09-12 00:00:00 UTC,242.73797243362458,22959283736.964302,487730351.6452901
2017-09-13 00:00:00 UTC,233.3063850673656,22071598733.269447,607161394.2317952
2017-09-14 00:00:00 UTC,179.82638716930404,17015671052.878391,780235674.2292091
2017-09-15 00:00:00 UTC,206.7155712650662,19563985224.731384,1353854462.9502757
2017-09-16 00:00:00 UTC,204.94391399116046,19400335409.12267,490797861.76017976
2017-09-17 00:00:00 UTC,209.18860820918914,19806151470.168056,281897435.45211005
2017-09-18 00:00:00 UTC,240.77003132729763,22800915465.90424,782508803.2776253
2017-09-19 00:00:00 UTC,233.7971471951945,22145101656.73149,432258520.3927863
2017-09-20 00:00:00 UTC,235.341470971384,22295883827.1342,271460569.83918005
2017-09-21 00:00:00 UTC,215.4938904214069,20419732572.614742,393546873.93565047
2017-09-22 00:00:00 UTC,220.47677601402316,20895379543.056828,287638999.96981823
2017-09-23 00:00:00 UTC,237.00596708881528,22465475899.2992,305912302.91902566
2017-09-24 00:00:00 UTC,235.3684582347377,22313895557.437267,397209516.3368408
2017-09-25 00:00:00 UTC,243.03024965727025,23043891804.069447,309727411.2990083
2017-09-26 00:00:00 UTC,240.89625337660786,22845211662.440517,204210871.08162358
2017-09-27 00:00:00 UTC,257.1850034227488,24393887242.281258,336078588.9513285
2017-09-28 00:00:00 UTC,249.8194719811238,23699034524.29887,292021589.1140684
2017-09-29 00:00:00 UTC,243.86595710698128,23137881540.527573,339770177.3113181
2017-09-30 00:00:00 UTC,251.61437244518058,23876780059.31397,198480653.48169667
2017-10-01 00:00:00 UTC,253.77967976964905,24086109369.14886,176700860.42725182
2017-10-02 00:00:00 UTC,252.10688566318711,23931153598.350998,194937418.96058112
2017-10-03 00:00:00 UTC,248.83525352938068,23624376170.4158,181956909.37995902
2017-10-04 00:00:00 UTC,249.24356825440793,23666952185.094788,142805074.11391798
2017-10-05 00:00:00 UTC,250.79608203647666,23818221785.162743,141988495.64858222
2017-10-06 00:00:00 UTC,262.2615949637634,24911086231.83863,190807447.5039603
2017-10-07 00:00:00 UTC,263.93715135197107,25074208855.700176,220828470.7123646
2017-10-08 00:00:00 UTC,261.5134316639416,24847927010.77525,166565760.4918373
2017-10-09 00:00:00 UTC,252.03726596292492,23951370056.18227,360127926.7288492
2017-10-10 00:00:00 UTC,253.8353624025606,24126172926.00948,222304275.4607696
2017-10-11 00:00:00 UTC,255.58030051814228,24295975039.016243,151701002.79753217
2017-10-12 00:00:00 UTC,255.2515969996861,24268648744.268864,328867016.60850847
2017-10-13 00:00:00 UTC,285.902841675988,27187322613.83383,899228027.4771742
2017-10-14 00:00:00 UTC,283.6978318172471,26981974524.660355,325433659.03971946
2017-10-15 00:00:00 UTC,284.00436853212864,27015560267.15369,435184668.5392405
